Year,ST,STATE,TotalPopulation,WorkForce,Employed,EmployedPercent,Unemployed,UnemployedPercent,H_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90
2005,IN,Indiana,"62,78,616",3205441,3029959,94.5254958678,175482,5.47450413219,16.38,7.07,9.29,13.30,20.28,28.30
2005,IA,Iowa,"29,64,454",1629772,1560172,95.7294639986,69600,4.27053600135,15.55,6.91,9.07,12.84,18.84,26.60
2005,KS,Kansas,"27,45,299",1465652,1392033,94.9770477576,73619,5.02295224241,16.33,6.93,9.02,12.99,19.99,28.94
2005,KY,Kentucky,"41,82,742",1999783,1881945,94.1074606595,117838,5.89253934052,15.65,6.76,8.85,12.73,19.09,26.95
2005,LA,Louisiana,"45,76,628",1484641,1382722,93.1351080834,101919,6.86489191663,15.11,6.23,7.92,12.01,18.79,27.00
2005,ME,Maine,"13,18,787",697145,663126,95.1202404091,34019,4.8797595909,16.31,7.57,9.64,13.30,19.63,27.30
2005,MD,Maryland,"55,92,379",2924546,2803491,95.8607250493,121055,4.13927495071,20.23,7.54,10.36,16.09,25.26,38.93
2005,MA,Massachusetts,"64,03,290",3384121,3220093,95.1530101908,164028,4.84698980917,22.10,8.74,11.58,17.47,27.17,41.05
2005,MI,Michigan,"1,00,51,137",5083141,4738909,93.2279667237,344232,6.77203327628,19.25,7.46,10.14,15.46,24.52,34.65
2005,MN,Minnesota,"51,19,598",2879775,2762737,95.9358630449,117038,4.06413695514,19.39,7.92,10.58,15.74,23.60,34.33
2005,MS,Mississippi,"29,05,943",1317406,1218830,92.5174168024,98576,7.48258319759,13.99,6.31,7.97,11.19,16.71,24.56
2005,MO,Missouri,"57,90,300",3009344,2847008,94.6056017524,162336,5.39439824759,16.66,6.95,8.97,13.08,20.41,29.98
2005,MT,Montana,"9,40,102",486062,464910,95.6482917817,21152,4.35170821829,14.53,6.54,8.30,11.86,17.75,25.61
2005,NE,Nebraska,"17,61,497",973002,935911,96.1879831696,37091,3.81201683039,16.01,7.05,9.20,12.88,19.42,27.87
2005,NV,Nevada,"24,32,143",1223833,1173709,95.9043431579,50124,4.09565684207,16.71,7.07,9.38,13.30,20.28,29.31
2005,NH,New Hampshire,"12,98,492",725853,700028,96.4421170678,25825,3.55788293222,18.26,7.89,10.29,14.63,21.72,32.47
2005,NJ,New Jersey,"86,51,974",4391580,4194898,95.5213841032,196682,4.47861589678,21.09,7.67,10.54,16.68,26.38,40.21
2005,NM,New Mexico,"19,32,274",918159,871249,94.8908631294,46910,5.10913687063,15.95,6.44,8.31,12.41,19.53,29.52
2005,NY,New York,"1,91,32,610",9460871,8986862,94.989795337,474009,5.01020466297,21.18,7.62,10.47,16.36,26.19,40.69
2005,NC,North Carolina,"87,05,407",4317438,4091043,94.7562651739,226395,5.24373482607,16.57,7.10,9.15,13.06,19.76,29.07
2005,ND,North Dakota,"6,46,089",355548,343512,96.6148030646,12036,3.38519693543,14.83,6.79,8.70,12.14,18.12,25.91
2005,OH,Ohio,"1,14,63,320",5890059,5541090,94.0752885497,348969,5.92471145026,17.44,7.09,9.50,14.07,21.57,31.02
2005,OK,Oklahoma,"35,48,597",1703297,1627112,95.5272040049,76185,4.47279599506,15.12,6.50,8.25,12.00,18.30,26.77
2005,OR,Oregon,"36,13,202",1845765,1731846,93.8280875409,113919,6.17191245906,17.92,8.15,10.02,14.50,21.61,31.86
2005,PA,Pennsylvania,"1,24,49,990",6251410,5940575,95.027761737,310835,4.97223826305,17.46,6.94,9.31,13.85,21.47,31.97
2005,RI,Rhode Island,"10,67,916",565736,537196,94.9552441421,28540,5.04475585786,18.74,7.94,10.20,15.07,23.10,33.62
2005,SC,South Carolina,"42,70,150",2068599,1929233,93.2627831687,139366,6.73721683129,15.50,6.68,8.62,12.43,18.67,27.12
2005,SD,South Dakota,"7,75,493",430612,414211,96.1912348007,16401,3.8087651993,14.02,6.97,8.57,11.52,16.36,23.81
2005,TN,Tennessee,"59,91,057",2904806,2743389,94.443105667,161417,5.55689433305,15.99,6.93,8.95,12.75,19.14,27.63
2005,TX,Texas,"2,27,78,123",11124254,10523260,94.5974444668,600994,5.40255553316,17.05,6.47,8.44,12.88,20.89,32.14
2005,UT,Utah,"24,57,719",1272452,1220619,95.9265261086,51833,4.07347389135,16.48,7.12,9.11,12.94,20.06,29.34
2005,VT,Vermont,"6,21,215",350761,338555,96.5201376436,12206,3.47986235642,16.86,8.11,10.03,13.68,20.10,28.20
2005,VA,Virginia,"75,77,105",3897060,3757606,96.4215588161,139454,3.57844118387,19.11,7.25,9.61,14.62,23.59,37.54
2005,WA,Washington,"62,57,305",3263703,3082398,94.4448070183,181305,5.55519298171,19.93,8.47,10.91,16.30,24.88,35.53
2005,WV,West Virginia,"18,20,492",790990,750565,94.8893159206,40425,5.11068407944,14.69,6.26,7.90,11.54,18.38,26.24
2005,WI,Wisconsin,"55,46,166",3021091,2878088,95.2665113365,143003,4.73348866353,17.15,7.44,9.80,14.11,20.95,29.67
2005,WY,Wyoming,"5,14,157",276529,266631,96.4206285778,9898,3.57937142217,15.84,6.79,8.97,13.12,20.15,27.64
2005,PR,Puerto Rico,"38,21,362",1378065,1221818,88.6618555729,156247,11.3381444271,10.69,5.73,6.37,8.22,12.38,17.96
2006,AL,Alabama,"46,28,981",2167813,2080235,95.9600758922,87578,4.03992410785,16.08,6.60,8.56,12.49,19.52,29.02
2006,AK,Alaska,"6,75,302",349698,326545,93.3791442902,23153,6.62085570978,21.12,9.18,12.16,17.70,26.74,37.09
2006,AZ,Arizona,"60,29,141",2990443,2864386,95.7846713681,126057,4.21532863191,17.43,7.21,9.40,13.77,20.85,31.77
2006,AR,Arkansas,"28,21,761",1365421,1294917,94.8364643579,70504,5.16353564212,14.84,6.61,8.44,11.93,17.97,25.82
2006,CA,California,"3,60,21,202",17654112,16789426,95.1020702712,864686,4.89792972878,21.24,8.02,10.21,16.37,26.74,40.87
2006,CO,Colorado,"47,20,423",2622246,2509731,95.7092126368,112515,4.2907873632,19.93,7.88,10.65,15.82,24.40,36.78
2006,CT,Connecticut,"35,17,460",1828657,1749195,95.654625225,79462,4.34537477504,22.10,8.79,11.70,17.76,27.35,39.63
2006,DE,Delaware,"8,59,268",441184,425399,96.422127729,15785,3.57787227098,20.04,7.77,10.41,15.82,24.88,36.54
